Date, Open, High, Low, Close
8/27/2014,17111.03,17134.6,17090.61,17122.01
8/26/2014,17079.57,17153.8,17079.57,17106.7
8/25/2014,17011.81,17124.74,17011.81,17076.87
8/22/2014,17038.27,17064.28,16984.52,17001.22
8/21/2014,16983.88,17074.59,16983.88,17039.49
8/20/2014,16910.03,16994.89,16896.55,16979.13
8/19/2014,16839.06,16929.13,16839.06,16919.59
8/18/2014,16664.45,16840.28,16664.45,16838.74
8/15/2014,16717.01,16775.27,16575.42,16662.91
8/14/2014,16657.32,16714.22,16651.67,16713.58
8/13/2014,16567.54,16670.29,16567.54,16651.8
8/12/2014,16565.55,16589.31,16518.06,16560.54
8/11/2014,16557.27,16627.99,16557.27,16569.98
8/8/2014,16369.68,16556.59,16364.22,16553.93
8/7/2014,16448.29,16504.35,16333.78,16368.27
8/6/2014,16425.1,16490.7,16372.32,16443.34
8/5/2014,16559.97,16559.97,16369.55,16429.47
8/4/2014,16493.72,16596.22,16447.2,16569.28
8/1/2014,16561.7,16584.75,16437.07,16493.37
7/31/2014,16869.63,16869.63,16563.3,16563.3
7/30/2014,16920.11,16983.94,16817.16,16880.36
7/29/2014,16984.33,17056.46,16912.11,16912.11
7/28/2014,16956.91,17001.38,16877.72,16982.59
7/25/2014,17079.5,17082.33,16915.65,16960.57
7/24/2014,17092.02,17119.83,17061.07,17083.8
7/23/2014,17117.01,17121.05,17058.05,17086.63
7/22/2014,17054.97,17133.43,17040.13,17113.54
7/21/2014,17095.11,17095.11,16974.34,17051.73
7/18/2014,16978.16,17113.51,16977.52,17100.18
7/17/2014,17133.45,17151.56,16966.19,16976.81
7/16/2014,17061.91,17139.35,17061.91,17138.2
7/15/2014,17055.03,17120.34,17006.39,17060.68
7/14/2014,16950.93,17088.43,16950.93,17055.42
7/11/2014,16918.31,16949.46,16860.3,16943.81
7/10/2014,16980.35,16980.35,16805.38,16915.07
7/9/2014,16916.83,16998.95,16913.81,16985.61
7/8/2014,17022.09,17022.09,16874.79,16906.62
7/7/2014,17063.83,17063.83,16992.45,17024.21
7/3/2014,16979,17074.65,16979,17068.26
7/2/2014,16949.71,16986.63,16949.71,16976.24
7/1/2014,16828.53,16998.7,16828.53,16956.07
6/30/2014,16852.49,16871.27,16801.94,16826.6
6/27/2014,16846.9,16862.73,16773.84,16851.84
